ledger_status	description	in_service_year	accum_quantity	accum_cost	company_id	gl_account_id	func_class_id	retirement_unit_id	bus_segment_id	utility_account_id	sub_account_id	asset_location_id	subledger_indicator	asset_id	depr_group_id	property_unit_id	asset_acct_meth_id	retire_method_id	long_description	property_group_id	unit_of_measure_id	compute_0023	major_location_id	line_number_id	books_schema_id	long_description	long_description	work_order_number	eng_in_service_year	serial_number	func_symbol	local_symbol	local_cost	related_asset	related_equip	second_financial_cost
1	(2) Air Compressors - MM S11&13	7/1/2018 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221642	99	30466068	29742346	270	1	1	(2) 2hp Electric Air Compressors - Minterbrook S11 and S13	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	54740 - Minterbrook	00118325	5/30/2018 00:00:00		USD	N/A	0	yes		51.96
1	(2) Air Compressors - MM S11&13	7/1/2018 00:00:00	2	1921.76	4	101010	4	270	1	3240	3240	21221642	99	30466051	21214945	270	1	1	(2) 2hp Electric Air Compressors - Minterbrook S11 and S13	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	54740 - Minterbrook	00118325	5/30/2018 00:00:00		USD	N/A	0	yes		1921.76
1	5hp B1.5 tpls boosters (2)- CYV	4/1/2017 00:00:00	1	7581.5	4	101010	4	270	1	3240	3240	21221810	99	27595733	21214945	270	1	1	(2) Berkely 5hp B1.5 tpls boosters - Cuyamaca Village	12	1	2017	21212680		1	PUMPING EQUIPMENT [270]	17100 - Cuyamaca Village	00108104	2/28/2017 00:00:00	F1610213749,F1610213799	USD	N/A	0			7581.5
1	Starters - PE Shorewood S01	8/1/2018 00:00:00	2	4099.35	4	101010	4	270	1	3240	3240	21221720	99	30569728	21214945	270	1	1	(2) Starters - PE Shorewood S01	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	68065 - Point Evans	00118197	5/8/2018 00:00:00		USD	N/A	0	yes		4099.35
1	Starters - PE Shorewood S01	8/1/2018 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221720	99	30569745	29742346	270	1	1	(2) Starters - PE Shorewood S01	12	1	2018	21212678		1	PUMPING EQUIPMENT [270]	68065 - Point Evans	00118197	5/8/2018 00:00:00		USD	N/A	0	yes		89.2
1	Starters/Switches S01 - AF	5/1/2019 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221798	99	31458882	29742346	270	1	1	(2) Starters/Switches - BP#1 & BP#2, 16101 McNeice Dr SE - S01 Andrews First	12	1	2019	21212680		1	PUMPING EQUIPMENT [270]	17241 - Andrews First	00119121	11/30/2018 00:00:00		USD	N/A	0	yes		27.6
1	Starters/Switches S01 - AF	5/1/2019 00:00:00	0	1525.71	4	101010	4	270	1	3240	3240	21221798	99	31458865	21214945	270	1	1	(2) Starters/Switches - BP#1 & BP#2, 16101 McNeice Dr SE - S01 Andrews First	12	1	2019	21212680		1	PUMPING EQUIPMENT [270]	17241 - Andrews First	00119121	11/30/2018 00:00:00		USD	N/A	0	yes		1525.71
1	Well Pump Control Boxes - CPK S01	7/1/2018 00:00:00	2	1218.15	4	101010	4	270	1	3240	3240	21221854	99	30466281	21214945	270	1	1	(2) Well Pump Control Boxes - Crescent Park S01	12	1	2018	21212680		1	PUMPING EQUIPMENT [270]	15999 - Crescent Park	00118453	5/22/2018 00:00:00		USD	N/A	0	yes		1218.15
1	Well Pump Control Boxes - CPK S01	7/1/2018 00:00:00	0	0	4	149310	4	270	1	3240	3240	21221854	99	30466298	29742346	270	1	1	(2) Well Pump Control Boxes - Crescent Park S01	12	1	2018	21212680		1	PUMPING EQUIPMENT [270]	15999 - Crescent Park	00118453	5/22/2018 00:00:00		USD	N/A	0	yes		12.15
1	Grundfos 1.5 Pump& Motor - S01 FH	4/1/2019 00:00:00	1	4211.74	4	101010	4	270	1	3240	3240	21221828	99	31360750	21214945	270	1	1	1.5 HP Grundfos 35S15-6 Pump & Motor, 5721 Middle Ridge Ct NE, Olympia - Fox Hall S01	12	1	2019	21212680		1	PUMPING EQUIPMENT [270]	10991 - Foxhall	00119197	11/30/2018 00:00:00		USD	N/A	0	yes		4211.75
